x-axis,v1,v2
second,Volt,Volt
-1.330000E-06,,
-1.327500E-06,+5.266331634019E+00,+10.050283279E-03
-1.325000E-06,+5.251256257296E+00,-15.075344592E-03
-1.322500E-06,+5.251256257296E+00,-15.075344592E-03
-1.320000E-06,+5.251256257296E+00,-15.075344592E-03
-1.317500E-06,+5.251256257296E+00,+10.050283279E-03
-1.315000E-06,+5.251256257296E+00,-15.075344592E-03
-1.312500E-06,+5.251256257296E+00,-15.075344592E-03
-1.310000E-06,+5.246231131721E+00,-10.050219018E-03
-1.307500E-06,+5.251256257296E+00,+10.050283279E-03
-1.305000E-06,+5.251256257296E+00,-15.075344592E-03
-1.302500E-06,+5.226130629424E+00,-15.075344592E-03
-1.300000E-06,+5.216080378275E+00,-15.075344592E-03
-1.297500E-06,+5.251256257296E+00,+10.050283279E-03
-1.295000E-06,+5.256281382870E+00,-20.100470167E-03
-1.292500E-06,+5.276381885167E+00,-15.075344592E-03
-1.290000E-06,+5.246231131721E+00,+20.100534428E-03
-1.287500E-06,+5.241206006147E+00,+10.050283279E-03
-1.285000E-06,+5.221105503850E+00,+20.100534428E-03
-1.282500E-06,+5.251256257296E+00,+10.050283279E-03
-1.280000E-06,+5.286432136316E+00,-10.050219018E-03
-1.277500E-06,+5.251256257296E+00,-15.075344592E-03
-1.275000E-06,+5.251256257296E+00,-15.075344592E-03
-1.272500E-06,+5.251256257296E+00,-15.075344592E-03
-1.270000E-06,+5.216080378275E+00,-10.050219018E-03
-1.267500E-06,+5.251256257296E+00,-15.075344592E-03
-1.265000E-06,+5.256281382870E+00,+20.100534428E-03
-1.262500E-06,+5.236180880573E+00,-15.075344592E-03
-1.260000E-06,+5.251256257296E+00,-15.075344592E-03
-1.257500E-06,+5.226130629424E+00,-15.075344592E-03
-1.255000E-06,+5.216080378275E+00,-15.075344592E-03
-1.252500E-06,+5.276381885167E+00,+32.131E-09
-1.250000E-06,+5.251256257296E+00,-15.075344592E-03
